Unnamed: 0,department,search_term,sfr,asin,clicked_item,click_share_rank,click_share,conversion_share
66,AWS-APS,liquidizer,1,B07ZQNR4YP,Pure Liquidizer Original Kit (30 ML) Dilute Shatter Wax Concentrates Terpenes,1,0.4015,0.3077
67,AWS-APS,liquidizer,1,B096WHT697,Liquidizer - Terps USA 710 Liquidizer Original (Flavorless Liquidizer),2,0.3212,0.5385
68,AWS-APS,liquidizer,1,B087415QY3,Pure Liquidizer Blue Raspberry Kit (30 ML) Dilute Shatter Wax Concentrates Terpenes,3,0.0985,0
69,Video Games,nintendo switch games,1,B09H221SH4,Kirby and the Forgotten Land - Nintendo Switch,1,0.0584,0.0433
70,Video Games,nintendo switch games,1,B01N5OKGLH,Super Smash Bros. Ultimate - Nintendo Switch,2,0.0447,0.034
71,Video Games,nintendo switch games,1,B09KRK6C82,Nintendo Switch Sports - Nintendo Switch,3,0.0421,0.0416
72,Mobile Apps Store,youtube,1,B00LV4D70O,YouTube,1,0.3068,0.1915
73,Mobile Apps Store,youtube,1,B08NTMF18V,Video For YouTube,2,0.2777,0.319
74,Mobile Apps Store,youtube,1,B07P5N65MX,"YouTube,Movies,Sports,Music,Live",3,0.1538,0.1905
75,Musical Instruments,guitar,1,B08Q5TK31N,"JOYMUSIC 6 String 38 Acoustic Guitar Kit,Blueburst,Gloss (JG-38C,BLS), Right",1,0.0764,0.1023
76,Musical Instruments,guitar,1,B097YCQP1F,"Moukey 38in Acoustic Guitar for Beginner Kid Adult Teen Guitarra Acustica with Chord Poster, Gig Bag, Tuner, Picks, Nylon Strings, Capo, Cloth, Strap - Sunburst",2,0.0604,0.0824
77,Musical Instruments,guitar,1,B01I8L5HT6,"YMC 38 Blue Beginner Acoustic Guitar Starter Package Student Guitar with Gig Bag,Strap, 3 Thickness 9 Picks,2 Pickguards,Pick Holder, Extra Strings, Electronic Tuner -Blue",3,0.0411,0.0256
78,Wireless,iphone,1,B07ZPKF8RG,"Apple iPhone 11, 64GB, Purple - Fully Unlocked (Renewed)",1,0.0671,0.08
79,Wireless,iphone,1,B07P6Y7954,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",2,0.0296,0.0638
80,Wireless,iphone,1,B07ZPKN6YR,"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",3,0.025,0.0324
81,AmazonBasics,kettlebells,1,B0731DFTR2,"Amazon Basics Cast Iron Kettlebell with Enamel Finish, 15-Pound, Black",1,0.1827,0.1986
82,AmazonBasics,kettlebells,1,B0731G364H,"Amazon Basics Cast Iron Kettlebell with Enamel Finish, 10-Pound, Black",2,0.1278,0.1625
83,AmazonBasics,kettlebells,1,B07F1ZB48H,"Amazon Basics Vinyl Coated Cast Iron Kettlebell, 15-Pound, Pink",3,0.0932,0.0745
84,Books,colleen hoover,1,1542025605,Reminders of Him: A Novel,1,0.1599,0.1849
85,Books,colleen hoover,1,1501110365,It Ends with Us: A Novel (1),2,0.1534,0.1731
86,Books,colleen hoover,1,1538724731,Verity,3,0.129,0.1482
87,"Arts,Crafts, and Sewing",cricut,1,B07G4V5PGJ,"Cricut EasyPress 2 Heat Press Machine (9 x 9), Ideal for T-Shirts, Tote Bags, Pillows, Aprons, and More, Precise Temperature Control, Features Insulated Safety Base & Auto-Shut Off, Raspberry",1,0.0945,0.0693
88,"Arts,Crafts, and Sewing",cricut,1,B0942SQ5BD,"Cricut Maker 3 - Smart Cutting Machine, 2X Faster & 10X Cutting Force, Matless Cutting with Smart Materials, Cuts 300+ Materials, Bluetooth Connectivity, Compatible with iOS, Android, Windows & Mac",2,0.0839,0.0387
89,"Arts,Crafts, and Sewing",cricut,1,B084LMTR98,"Cricut Joy Machine - A Compact, Portable DIY Smart Machine for Creating Customized Labels, Cards & Crafts, Works with Iron-on, Vinyl, Paper & Smart Materials, Bluetooth-Enabled (iOS/Android/Windows)",3,0.0741,0.0302
90,Office Products,school supplies,1,B07FG9K4ZV,Back To School Supply Box Grades K-5 - School Supply Kit Back To School Essentials - 32 Pieces,1,0.103,0.0575
